time,open,high,low,close,volume
2026-01-01,3300.78,3304.82,3146.89,3252.55,969315658.14
2026-01-02,3253.28,3358.2,3213.4,3287.31,577013926.67
2026-01-03,3285.31,3295.02,3084.28,3118.56,508471928.1
2026-01-04,3118.71,3175.89,3072.01,3098.11,758250405.55
2026-01-05,3099.29,3249.94,3065.08,3237.87,456333262.91
2026-01-06,3238.79,3320.3,3109.9,3175.47,738942743.4
2026-01-07,3174.28,3222.34,3096.94,3129.34,971409514.7
2026-01-08,3129.88,3286.83,3083.29,3218.83,872735569.72
2026-01-09,3217.33,3268.02,3125.75,3198.27,896516576.95
2026-01-10,3199.6,3251.78,3137.37,3248.79,639037391.63
2026-01-11,3247.23,3294.64,3120.83,3121.06,963634108.25
2026-01-12,3122.47,3132.9,2920.75,3033.21,1014778315.7
2026-01-13,3033.87,3092.63,3026.4,3069.1,802290664.51
2026-01-14,3067.11,3077.78,2994.49,3032.42,1045509424.2
2026-01-15,3034.03,3180.31,3031.64,3165.43,912321071.09
2026-01-16,3164.29,3177.21,3111.14,3126.49,772862021.87
2026-01-17,3127.3,3205.37,3103.44,3131.71,638661290.3
2026-01-18,3132.59,3168.67,3043.96,3111.97,756443204.41
2026-01-19,3110.34,3177.52,3091.88,3159.75,1121188975.24
2026-01-20,3160.51,3172.31,3051.66,3062.63,423666167.44
2026-01-21,3062.37,3108.84,3046.07,3086.75,828757007.94
2026-01-22,3087.84,3089.4,2956.69,3018.23,430207323.77
2026-01-23,3016.01,3054.31,2945.27,3045.04,566004133.32
2026-01-24,3046.38,3066.16,2970.38,2971.97,933521972.54
2026-01-25,2972.6,3099.16,2947.37,3072.24,986064041.61
2026-01-26,3071.11,3145.88,2925.79,2945.37,423448248.79
2026-01-27,2946.25,3058.97,2856.87,2982.34,1104779087.44
2026-01-28,2980.57,3146.73,2980.17,3053.88,1057084708.39
2026-01-29,3056.13,3096.34,2871.97,2926.17,477030263.65
2026-01-30,2925.87,3005.14,2908.43,2915.62,574317141.5
2026-01-31,2914.58,2944.92,2907.83,2936.54,452730896.71
2026-02-01,2936.85,3049.78,2916.33,2999.68,535076347.9
2026-02-02,3000.75,3130.17,2982.41,3020.13,1010031998.54
2026-02-03,3020.12,3107.49,3006.79,3090.87,876107796.64
2026-02-04,3089.88,3100.89,3020.5,3082.83,1068367961.84
2026-02-05,3082.46,3103.96,3076.0,3082.6,441318313.72
2026-02-06,3083.83,3155.89,2956.84,3076.87,377812563.24
2026-02-07,3076.22,3162.22,3050.82,3155.06,494540270.61
2026-02-08,3155.13,3250.74,3058.91,3217.26,1017297268.07
2026-02-09,3216.53,3255.94,3087.06,3180.36,612011911.27
2026-02-10,3181.67,3269.02,3143.94,3240.86,1017742647.57
2026-02-11,3238.63,3295.37,3220.32,3254.9,860652481.04
2026-02-12,3256.05,3291.93,3255.62,3269.47,545700956.72
2026-02-13,3268.95,3302.03,3159.95,3167.08,829971266.07
2026-02-14,3167.75,3203.51,3084.72,3148.58,474675495.16
2026-02-15,3147.45,3180.89,3105.85,3153.87,548230831.41
2026-02-16,3154.67,3207.5,2959.4,3032.86,976102545.48
2026-02-17,3034.3,3091.87,2922.7,3002.14,1075471769.1
2026-02-18,2999.78,3070.76,2986.56,3039.19,671270323.4
2026-02-19,3041.0,3192.24,3037.89,3122.69,637945247.97
2026-02-20,3121.03,3141.55,2995.37,3045.82,790848239.39
2026-02-21,3046.05,3067.62,2852.21,2906.26,543281700.6
2026-02-22,2907.26,2922.74,2885.51,2913.53,821267277.72
2026-02-23,2913.89,3066.43,2891.29,2989.98,874930092.91
2026-02-24,2990.14,3063.41,2914.36,2943.39,751212668.07
2026-02-25,2943.33,3067.42,2939.14,3002.97,731348495.73
2026-02-26,3003.22,3027.63,2927.8,2990.21,1067007305.16
2026-02-27,2989.29,3223.74,2954.83,3098.08,669197914.9
2026-02-28,3097.81,3159.92,3090.2,3120.72,790391517.0
2026-03-01,3120.56,3128.44,3035.81,3100.5,505631606.17
2026-03-02,3101.12,3125.1,3038.2,3041.35,1077882479.42
2026-03-03,3042.02,3087.56,3018.09,3028.2,962731670.52
2026-03-11,3224.61,3358.87,3173.51,3214.18,814738711.95
2026-03-12,3212.98,3219.03,3061.64,3080.27,850259595.71
2026-03-13,3082.45,3157.85,3028.59,3068.4,731880429.81
2026-03-14,3067.02,3109.58,3027.08,3062.08,936100815.17
2026-03-15,3062.04,3144.61,2991.99,3137.2,689671785.28
2026-03-16,3138.43,3224.3,3117.57,3183.43,426892142.1
2026-03-17,3181.99,3207.45,2978.4,2991.69,1019365684.74
2026-03-18,2991.47,3163.35,2875.95,3096.46,851861840.43
2026-03-19,3098.32,3265.89,3087.57,3208.78,400222775.98
2026-03-20,3208.4,3276.73,2959.87,3005.95,660962040.33
2026-03-21,3005.71,3092.01,2823.8,2904.6,784247092.93
2026-03-22,2903.43,2954.22,2844.84,2915.98,351085734.01
2026-03-23,2915.88,2967.15,2759.15,2802.43,818427014.04
2026-03-24,2803.09,2890.3,2756.46,2770.45,823479572.05
2026-03-25,2770.69,2833.07,2707.74,2717.62,801061500.52
2026-03-26,2716.69,2742.04,2635.9,2650.71,327369417.8
2026-03-27,2650.93,2712.47,2627.53,2698.11,725831754.87
2026-03-28,2699.72,2744.99,2631.16,2742.75,847893678.77
2026-03-29,2740.8,2750.82,2646.15,2667.22,932569271.71
2026-03-30,2669.19,2733.68,2596.57,2678.72,464664037.83
2026-03-31,2676.79,2744.05,2663.05,2700.94,1068589135.11
2026-04-01,2702.31,2768.77,2653.18,2715.82,385865502.66
2026-04-02,2715.19,2726.53,2572.49,2666.78,732453802.36
2026-04-03,2666.65,2676.51,2550.45,2557.58,342147132.11
2026-04-04,2557.39,2588.72,2450.86,2504.64,623083194.03
2026-04-05,2504.52,2665.61,2487.95,2615.24,801252362.41
2026-04-06,2616.03,2687.08,2513.82,2530.45,584653070.68
2026-04-07,2529.92,2543.48,2477.16,2503.45,352478711.79
2026-04-08,2504.63,2526.49,2496.58,0.0,363578801.02
2026-04-09,2503.32,2703.52,2493.28,2639.19,391612839.49
2026-04-10,2639.93,2761.81,2623.01,2739.83,518221677.55
2026-04-11,2740.56,2805.42,2704.96,2764.37,522726722.6
2026-04-12,2762.92,2886.23,2680.22,2842.47,709182255.89
2026-04-13,2843.54,2895.61,2731.77,2760.83,926678177.42
2026-04-14,2760.19,2810.73,2746.47,2752.04,911171091.84
2026-04-15,2751.99,2882.72,2705.24,2829.09,890609832.32
2026-04-16,2828.58,2837.01,2793.4,2819.04,473127995.86
2026-04-17,2818.84,2850.9,2805.5,2840.75,847934026.1
2026-04-18,2841.49,2887.94,2806.35,2816.38,506660387.97
2026-04-19,2816.66,2844.45,2593.9,2692.37,800213145.87
2026-04-20,2691.5,2749.33,2608.31,2631.12,373493011.46
2026-04-21,2630.95,2638.82,2518.17,2564.73,595479901.1
2026-04-22,2565.11,2574.34,2408.82,2473.12,466998551.93
2026-04-23,2473.96,2516.78,2461.12,2466.98,407678323.28
2026-04-24,2465.82,2589.25,2411.65,2581.33,752615391.81
2026-04-25,2582.64,2619.15,2461.66,2482.69,535735692.87
2026-04-26,2481.34,2501.23,2473.57,2496.41,943926577.67
2026-04-27,2496.93,2526.11,2455.33,2492.57,978258329.99
2026-04-28,2492.19,2555.53,2490.23,2547.06,521670178.1
2026-04-29,2547.8,2570.39,2462.8,2470.27,811258201.34
2026-04-30,2470.69,2483.67,2396.09,2413.19,592488854.09
