date,reference_close_usd
2026-01-01,3251.28
2026-01-02,3285.71
2026-01-03,3118.85
2026-01-04,3097.94
2026-01-05,3237.38
2026-01-06,3172.72
2026-01-07,3128.52
2026-01-08,3216.04
2026-01-09,3200.19
2026-01-10,3249.35
2026-01-11,3121.24
2026-01-12,3030.61
2026-01-13,3066.24
2026-01-14,3033.09
2026-01-15,3165.14
2026-01-16,3127.18
2026-01-17,3129.65
2026-01-18,3111.47
2026-01-19,3160.32
2026-01-20,3062.92
2026-01-21,3087.92
2026-01-22,3016.18
2026-01-23,3045.59
2026-01-24,2971.72
2026-01-25,3072.53
2026-01-26,2944.25
2026-01-27,2982.98
2026-01-28,3054.71
2026-01-29,2923.33
2026-01-30,2914.67
2026-01-31,2936.13
2026-02-01,2998.07
2026-02-02,3018.18
2026-02-03,3089.64
2026-02-04,3083.36
2026-02-05,3082.05
2026-02-06,3074.07
2026-02-07,3152.68
2026-02-08,3215.88
2026-02-09,3179.54
2026-02-10,3237.76
2026-02-11,3254.49
2026-02-12,3267.49
2026-02-13,3168.45
2026-02-14,3149.0
2026-02-15,3154.49
2026-02-16,3031.95
2026-02-17,2999.06
2026-02-18,3038.13
2026-02-19,3121.45
2026-02-20,3047.67
2026-02-21,2904.88
2026-02-22,2911.29
2026-02-23,2989.1
2026-02-24,2941.6
2026-02-25,3002.91
2026-02-26,2987.71
2026-02-27,3096.08
2026-02-28,3119.72
2026-03-01,3100.28
2026-03-02,3039.03
2026-03-03,3026.51
2026-03-04,3185.63
2026-03-05,3161.88
2026-03-06,3137.57
2026-03-07,3136.25
2026-03-08,3242.31
2026-03-09,3191.7
2026-03-10,3223.91
2026-03-11,3213.43
2026-03-12,3081.32
2026-03-13,3067.48
2026-03-14,3063.27
2026-03-15,3137.84
2026-03-16,3182.65
2026-03-17,2993.42
2026-03-18,3095.27
2026-03-19,3208.39
2026-03-20,3006.42
2026-03-21,2904.83
2026-03-22,2917.43
2026-03-23,2803.73
2026-03-24,2771.89
2026-03-25,2715.89
2026-03-26,2651.96
2026-03-27,2699.25
2026-03-28,2742.57
2026-03-29,2666.37
2026-03-30,2678.47
2026-03-31,2700.44
2026-04-01,2715.46
2026-04-02,2665.22
2026-04-03,2558.83
2026-04-04,2506.12
2026-04-05,2615.58
2026-04-06,2529.22
2026-04-07,2503.57
2026-04-08,2503.09
2026-04-09,2640.07
2026-04-10,2740.74
2026-04-11,2804.52
2026-04-12,2842.02
2026-04-13,2761.17
2026-04-14,2752.41
2026-04-15,2828.83
2026-04-16,2819.26
2026-04-17,2840.52
2026-04-18,2816.3
2026-04-19,2692.1
2026-04-20,2630.82
2026-04-21,2566.55
2026-04-22,2474.67
2026-04-23,2465.23
2026-04-24,2582.66
2026-04-25,2482.5
2026-04-26,2496.79
2026-04-27,2493.55
2026-04-28,2547.16
2026-04-29,2468.56
2026-04-30,2411.72
