symbol,time_ms,o,h,l,c,base_vol
BTC-USD,1767196800000,91000.0,93085.62,90109.23,92357.39,9814.8294
BTC-USD,1767283200000,92357.39,93147.63,91368.77,92717.48,17205.0998
BTC-USD,1767369600000,92717.48,95221.02,92496.7,94193.34,6901.6537
BTC-USD,1767456000000,94193.34,94728.96,92615.62,93274.04,7571.6151
BTC-USD,1767542400000,93274.04,94939.97,92940.03,93515.82,11683.5389
BTC-USD,1767628800000,93515.82,94238.46,91781.35,92217.02,9784.5204
BTC-USD,1767715200000,92217.02,93858.37,91648.29,93124.12,9812.3289
BTC-USD,1767801600000,93124.12,94956.94,92595.63,94755.51,14019.8669
BTC-USD,1767888000000,94755.51,94852.39,92002.65,92544.73,12173.5
BTC-USD,1767974400000,92544.73,93178.2,88487.16,89554.78,18661.6866
BTC-USD,1768060800000,89554.78,89799.69,84252.15,85272.21,17403.8802
BTC-USD,1768147200000,85272.21,85754.0,82462.76,83268.83,8432.3401
BTC-USD,1768233600000,83268.83,84833.18,81830.99,83683.54,8322.3262
BTC-USD,1768320000000,83683.54,85603.62,82359.33,85588.04,12931.0837
BTC-USD,1768406400000,85588.04,87376.46,85343.11,86997.89,6519.4109
BTC-USD,1768492800000,86997.89,87187.25,84715.63,84725.62,13326.2749
BTC-USD,1768579200000,84725.62,85362.1,82573.82,82743.27,17248.5735
BTC-USD,1768665600000,82743.27,83320.28,81367.74,81416.25,11340.7877
BTC-USD,1768752000000,81416.25,83000.43,80705.42,81532.44,19779.9762
BTC-USD,1768838400000,81532.44,82327.88,78728.76,78752.69,6670.5844
BTC-USD,1768924800000,78752.69,78944.44,74432.84,74556.42,9449.491
BTC-USD,1769011200000,74556.42,77284.1,74326.52,76137.03,17933.0565
BTC-USD,1769097600000,76137.03,80141.75,75986.52,79862.57,11977.5192
BTC-USD,1769184000000,79862.57,80048.02,78748.11,79424.4,17130.2687
BTC-USD,1769270400000,79424.4,79917.2,77351.12,78960.18,14247.8006
BTC-USD,1769356800000,78960.18,81929.87,77585.98,79935.2,8699.8889
BTC-USD,1769443200000,79935.2,80784.73,79347.28,80711.54,13674.6866
BTC-USD,1769529600000,80711.54,80913.19,78197.55,78428.52,6146.6946
BTC-USD,1769616000000,78428.52,78687.99,77865.68,77872.56,9098.7686
BTC-USD,1769702400000,77872.56,78179.01,73634.83,74537.23,7559.3226
BTC-USD,1769788800000,74537.23,76383.5,73784.82,75571.18,17824.47
BTC-USD,1769875200000,75571.18,75867.1,75164.67,75381.28,8608.7467
BTC-USD,1769961600000,75381.28,77438.79,75305.52,76820.47,9605.0011
BTC-USD,1770048000000,76820.47,78231.91,75084.9,76251.81,11385.5222
BTC-USD,1770134400000,76251.81,79136.14,76245.07,78146.99,16823.9946
BTC-USD,1770220800000,78146.99,79195.18,77964.18,79058.71,18999.7877
BTC-USD,1770307200000,79058.71,79228.32,77796.9,78090.13,18614.9497
BTC-USD,1770393600000,78090.13,79349.08,78044.55,78795.42,8313.3825
BTC-USD,1770480000000,78795.42,78821.26,76227.88,77378.91,17545.718
BTC-USD,1770566400000,77378.91,77498.45,75420.8,77036.69,16067.3836
BTC-USD,1770652800000,77036.69,77276.99,76161.64,76804.97,11887.1629
BTC-USD,1770739200000,76804.97,79963.88,75610.3,79717.88,6111.1593
BTC-USD,1770825600000,79717.88,80715.74,79272.95,80486.84,14254.9929
BTC-USD,1770912000000,80486.84,83299.6,80418.8,81285.64,16348.8984
BTC-USD,1770998400000,81285.64,81308.6,78570.9,79474.95,14576.7765
BTC-USD,1771084800000,79474.95,82577.67,79078.42,82083.33,5861.3467
BTC-USD,1771171200000,82083.33,82418.9,79913.84,80085.04,7228.4618
BTC-USD,1771257600000,80085.04,80705.33,77832.83,79745.38,9026.1793
BTC-USD,1771344000000,79745.38,80514.0,78362.32,78945.59,11534.9428
