symbol,time_ms,o,h,l,c,base_vol
ETH-USD,1767196800000,3250.0,3257.95,3227.19,3245.63,7571.597
ETH-USD,1767283200000,3245.63,3353.1,3188.72,3343.62,8972.2026
ETH-USD,1767369600000,3343.62,3523.91,3292.48,3513.81,9754.8026
ETH-USD,1767456000000,3513.81,3524.35,3490.32,3515.4,8271.6768
ETH-USD,1767542400000,3515.4,3535.55,3456.57,3470.38,6019.1366
ETH-USD,1767628800000,3470.38,3502.26,3371.61,3392.8,17610.7834
ETH-USD,1767715200000,3392.8,3426.58,3375.54,3392.2,14219.1989
ETH-USD,1767801600000,3392.2,3400.74,3324.46,3333.4,5333.1827
ETH-USD,1767888000000,3333.4,3469.72,3289.92,3426.86,6048.2322
ETH-USD,1767974400000,3426.86,3436.19,3317.46,3321.14,18764.0424
ETH-USD,1768060800000,3321.14,3361.02,3246.8,3248.68,17244.372
ETH-USD,1768147200000,3248.68,3267.19,3245.86,3249.0,5072.5547
ETH-USD,1768233600000,3249.0,3284.22,3200.4,3221.26,11105.3491
ETH-USD,1768320000000,3221.26,3233.36,3187.84,3220.13,17313.5701
ETH-USD,1768406400000,3220.13,3224.29,3148.14,3166.81,13977.9778
ETH-USD,1768492800000,3166.81,3189.27,3113.25,3120.93,8734.8957
ETH-USD,1768579200000,3120.93,3144.22,3072.19,3073.12,5583.7765
ETH-USD,1768665600000,3073.12,3150.59,3067.39,3110.9,13277.9673
ETH-USD,1768752000000,3110.9,3153.86,3100.66,3147.13,16296.2933
ETH-USD,1768838400000,3147.13,3289.07,3120.42,3231.95,15679.5568
ETH-USD,1768924800000,3231.95,3242.49,3155.89,3176.5,5103.1986
ETH-USD,1769011200000,3176.5,3183.57,3132.1,3150.68,16422.6125
ETH-USD,1769097600000,3150.68,3154.59,2969.63,3012.36,19467.2204
ETH-USD,1769184000000,3012.36,3120.55,3006.63,3120.48,5596.8721
ETH-USD,1769270400000,3120.48,3242.69,3077.77,3189.38,17919.7484
ETH-USD,1769356800000,3189.38,3273.21,3171.12,3252.09,5369.7126
ETH-USD,1769443200000,3252.09,3306.45,3207.05,3303.17,14163.6026
ETH-USD,1769529600000,3303.17,3367.29,3277.47,3292.07,19874.6225
ETH-USD,1769616000000,3292.07,3309.19,3190.93,3243.8,10549.6762
ETH-USD,1769702400000,3243.8,3274.76,3138.11,3212.87,9362.2458
ETH-USD,1769788800000,3212.87,3265.07,3136.07,3148.84,10169.5837
ETH-USD,1769875200000,3148.84,3214.03,3139.31,3189.21,14271.6273
ETH-USD,1769961600000,3189.21,3206.95,3101.53,3133.19,13936.0056
ETH-USD,1770048000000,3133.19,3233.61,3111.38,3182.21,11903.5832
ETH-USD,1770134400000,3182.21,3189.58,3104.92,3115.93,12036.9893
ETH-USD,1770220800000,3115.93,3165.47,2983.39,3036.56,7896.2639
ETH-USD,1770307200000,3036.56,3078.56,3003.43,3027.9,7067.8485
ETH-USD,1770393600000,3027.9,3031.28,2957.92,2961.63,17034.8696
ETH-USD,1770480000000,2961.63,3043.69,2944.18,3010.36,13185.9248
ETH-USD,1770566400000,3010.36,3087.84,2993.96,3075.32,6136.5956
ETH-USD,1770652800000,3075.32,3076.79,3052.32,3058.86,12631.2965
ETH-USD,1770739200000,3058.86,3098.46,3041.63,3095.71,19842.1758
ETH-USD,1770825600000,3095.71,3142.81,2996.44,3037.81,8449.9319
ETH-USD,1770912000000,3037.81,3188.99,2997.38,3184.11,13713.1204
ETH-USD,1770998400000,3184.11,3206.7,3140.11,3144.98,15150.9592
ETH-USD,1771084800000,3144.98,3170.01,3097.66,3098.46,9231.3173
ETH-USD,1771171200000,3098.46,3105.98,2992.67,3010.25,12850.9092
ETH-USD,1771257600000,3010.25,3049.25,2946.99,2978.92,19334.8905
ETH-USD,1771344000000,2978.92,2992.62,2943.16,2943.28,10276.0482
ETH-USD,1771430400000,2943.28,2984.99,2877.08,2893.59,14190.0747
ETH-USD,1771516800000,2893.59,2930.79,2794.75,2804.56,18219.4601
ETH-USD,1771603200000,2804.56,2835.05,2766.83,2785.3,7266.1182
ETH-USD,1771689600000,2785.3,2835.95,2739.92,2823.07,17759.487
ETH-USD,1771776000000,2823.07,2876.63,2811.53,2864.2,9947.3751
ETH-USD,1771862400000,2864.2,2873.53,2792.25,2835.27,9037.9057
ETH-USD,1771948800000,2835.27,2837.06,2806.62,2813.52,8791.3206
ETH-USD,1772035200000,2813.52,2870.96,2812.95,2823.92,14388.7303
ETH-USD,1772121600000,2823.92,2888.05,2797.27,2872.79,18872.9731
ETH-USD,1772208000000,2872.79,2884.96,2820.42,2865.99,11861.6051
ETH-USD,1772294400000,2865.99,2867.45,2829.29,2864.71,16448.0509
ETH-USD,1772380800000,2864.71,2905.71,2782.28,2787.88,14072.1205
ETH-USD,1772467200000,2787.88,2842.54,2766.26,2801.44,11469.8678
ETH-USD,1772553600000,2801.44,2819.48,2774.76,2794.26,14224.3405
ETH-USD,1772640000000,2794.26,2810.4,2764.34,2772.54,18813.0577
ETH-USD,1772726400000,2772.54,2795.82,2740.83,2743.98,15057.9588
ETH-USD,1772812800000,2743.98,2765.1,2696.34,2699.06,5635.2349
ETH-USD,1772899200000,2699.06,2771.22,2663.93,2750.7,11453.8911
ETH-USD,1772985600000,2750.7,2753.43,2714.53,2721.9,11340.3795
ETH-USD,1773072000000,2721.9,2754.14,2704.27,2727.53,19777.7151
ETH-USD,1773158400000,2727.53,2765.39,2645.47,2680.96,18558.0762
ETH-USD,1773244800000,2680.96,2769.43,2663.69,2752.55,12295.5278
ETH-USD,1773331200000,2752.55,2808.05,2722.96,2797.84,13607.982
ETH-USD,1773417600000,2797.84,2804.11,2781.41,2798.19,10861.1454
ETH-USD,1773504000000,2798.19,2815.88,2723.56,2744.22,15347.9154
ETH-USD,1773590400000,2744.22,2830.41,2727.95,2803.54,17760.991
ETH-USD,1773676800000,2803.54,2841.63,2697.84,2711.92,7333.4107
ETH-USD,1773763200000,2711.92,2719.16,2623.3,2640.16,5143.5459
ETH-USD,1773849600000,2640.16,2687.27,2620.23,2658.49,6506.2344
ETH-USD,1773936000000,2658.49,2708.05,2651.71,2697.32,15005.2523
ETH-USD,1774022400000,2697.32,2746.78,2588.12,2604.01,19884.2684
ETH-USD,1774108800000,2604.01,2645.36,2567.71,2625.17,6368.7655
ETH-USD,1774195200000,2625.17,2669.51,2579.73,2634.61,18172.7177
ETH-USD,1774281600000,2634.61,2653.65,2627.08,2632.97,18783.9814
ETH-USD,1774368000000,2632.97,2665.26,2609.78,2647.88,19292.6611
ETH-USD,1774454400000,2647.88,2808.23,2643.02,2792.07,12299.9937
ETH-USD,1774540800000,2792.07,2816.19,2732.32,2733.78,12909.8347
ETH-USD,1774627200000,2733.78,2828.59,2708.5,2810.84,6632.5226
ETH-USD,1774713600000,2810.84,2861.23,2758.62,2836.33,17141.6126
ETH-USD,1774800000000,2836.33,2876.72,2819.71,2823.74,11111.0887
ETH-USD,1774886400000,2823.74,2834.75,2807.71,2827.67,19049.537
ETH-USD,1774972800000,2827.67,2836.09,2763.93,2788.07,5418.3577
ETH-USD,1775059200000,2788.07,2831.66,2778.37,2822.74,18703.1338
ETH-USD,1775145600000,2822.74,2912.62,2810.92,2875.95,15125.0251
ETH-USD,1775232000000,2875.95,2989.32,2861.37,2942.78,15869.7938
ETH-USD,1775318400000,2942.78,2949.94,2873.63,2902.09,8369.4821
ETH-USD,1775404800000,2902.09,2928.68,2792.24,2792.98,16982.9145
ETH-USD,1775491200000,2792.98,2820.25,2731.03,2742.95,8142.2537
ETH-USD,1775577600000,2742.95,2771.81,2669.43,2686.57,7176.1417
ETH-USD,1775664000000,2686.57,2750.36,2589.47,2620.04,7202.073
ETH-USD,1775750400000,2620.04,2675.26,2591.69,2666.09,14364.9767
ETH-USD,1775836800000,2666.09,2667.21,2625.12,2632.24,9757.0023
ETH-USD,1775923200000,2632.24,2653.42,2570.15,2606.39,15232.7263
ETH-USD,1776009600000,2606.39,2638.7,2602.83,2616.14,10227.3731
ETH-USD,1776096000000,2616.14,2642.03,2614.26,2640.09,8647.9677
ETH-USD,1776182400000,2640.09,2650.48,2528.14,2575.21,13316.4582
ETH-USD,1776268800000,2575.21,2638.6,2493.11,2517.68,10091.3327
ETH-USD,1776355200000,2517.68,2644.71,2493.44,2624.04,12051.3977
ETH-USD,1776441600000,2624.04,2710.22,2596.07,2662.78,17248.086
ETH-USD,1776528000000,2662.78,2718.24,2633.77,2657.36,12151.9529
ETH-USD,1776614400000,2657.36,2737.0,2614.04,2706.56,5541.0316
ETH-USD,1776700800000,2706.56,2762.63,2625.52,2652.81,11443.3913
