date,reference_close_usd
2026-01-01,90410.44
2026-01-02,92434.59
2026-01-03,90469.47
2026-01-04,89779.88
2026-01-05,89797.21
2026-01-06,87961.9
2026-01-07,93240.86
2026-01-08,96594.32
2026-01-09,98271.73
2026-01-10,96890.21
2026-01-11,95585.1
2026-01-12,95189.81
2026-01-13,95382.66
2026-01-14,95952.68
2026-01-15,96424.85
2026-01-16,95338.68
2026-01-17,98417.2
2026-01-18,97897.75
2026-01-19,94767.36
2026-01-20,99186.74
2026-01-21,98416.64
2026-01-22,95338.44
2026-01-23,94684.5
2026-01-24,94700.86
2026-01-25,93444.05
2026-01-26,90005.23
2026-01-27,88334.75
2026-01-28,86831.3
2026-01-29,89448.32
2026-01-30,90911.83
2026-01-31,90077.11
2026-02-01,88042.98
2026-02-02,87618.31
2026-02-03,89528.82
2026-02-04,90853.69
2026-02-05,92560.92
2026-02-06,92034.57
2026-02-07,91627.52
2026-02-08,89429.33
2026-02-09,88438.35
2026-02-10,88535.86
2026-02-11,86189.32
2026-02-12,85886.29
2026-02-13,89031.71
2026-02-14,88129.29
2026-02-15,85931.8
2026-02-16,86683.68
2026-02-17,90311.97
2026-02-18,88871.59
2026-02-19,87271.57
2026-02-20,84984.25
2026-02-21,84844.45
2026-02-22,81829.17
2026-02-23,83702.9
2026-02-24,81233.15
2026-02-25,80184.8
2026-02-26,79092.12
2026-02-27,78008.73
2026-02-28,79318.57
2026-03-01,79651.77
2026-03-02,78895.17
2026-03-03,77653.03
2026-03-04,77226.64
2026-03-05,79447.09
2026-03-06,77309.14
2026-03-07,77147.86
2026-03-08,76074.87
2026-03-09,76539.59
2026-03-10,75563.52
2026-03-11,75574.87
2026-03-12,77626.92
2026-03-13,76969.9
2026-03-14,76396.02
2026-03-15,75561.73
2026-03-16,77401.88
2026-03-17,78806.89
2026-03-18,75989.98
2026-03-19,77936.77
2026-03-20,75571.68
2026-03-21,74116.73
2026-03-22,74507.69
2026-03-23,74538.01
2026-03-24,76189.97
2026-03-25,76152.03
2026-03-26,75233.12
2026-03-27,75618.84
2026-03-28,76175.35
2026-03-29,76440.85
2026-03-30,78386.74
2026-03-31,78705.85
2026-04-01,77193.68
2026-04-02,76671.12
2026-04-03,73086.79
2026-04-04,73951.0
2026-04-05,72024.56
2026-04-06,71223.28
2026-04-07,71114.98
2026-04-08,71254.8
2026-04-09,70929.93
2026-04-10,72345.72
2026-04-11,72620.86
2026-04-12,69610.1
2026-04-13,68697.27
2026-04-14,68411.98
2026-04-15,66810.53
2026-04-16,64326.79
2026-04-17,67188.74
2026-04-18,66812.34
2026-04-19,67851.7
2026-04-20,68993.77
2026-04-21,67424.23
2026-04-22,65625.92
2026-04-23,66192.45
2026-04-24,64842.88
2026-04-25,65759.51
2026-04-26,68002.12
2026-04-27,66046.21
2026-04-28,63761.52
2026-04-29,65392.24
2026-04-30,67717.53
